	M00453_QseC_QseB_quorum_sensing_two_component_regulatory_system_
661170	FALSE
245599	FALSE
582931	FALSE
4479753	FALSE
4403779	FALSE
4376863	FALSE
255100	FALSE
724298	FALSE
830341	FALSE
3854077	FALSE
861192	FALSE
209886	FALSE
3297956	FALSE
1603735	FALSE
4076076	FALSE
227130	FALSE
4453099	FALSE
114811	FALSE
355762	FALSE
252636	FALSE
835972	FALSE
388833	FALSE
160300	FALSE
153007	TRUE
2016519	FALSE
1120649	FALSE
2195623	FALSE
4298787	FALSE
974817	FALSE
569736	FALSE
4398746	FALSE
92209	FALSE
1107679	FALSE
4382408	FALSE
587051	FALSE
3211673	FALSE
345093	FALSE
334709	FALSE
2510845	FALSE
2776654	FALSE
4479618	FALSE
4343075	FALSE
552183	FALSE
2981825	FALSE
186867	FALSE
4409528	FALSE
4306040	FALSE
633392	FALSE
587951	FALSE
1787054	FALSE
2860880	FALSE
624006	FALSE
725347	FALSE
540643	FALSE
3685327	FALSE
353248	FALSE
4388764	FALSE
316737	FALSE
237144	FALSE
552866	FALSE
1766551	FALSE
314001	FALSE
766547	FALSE
691008	FALSE
1132384	FALSE
331776	FALSE
4148176	FALSE
251153	FALSE
585568	FALSE
513117	FALSE
704361	FALSE
67842	FALSE
889831	FALSE
2658745	FALSE
3297951	FALSE
255448	FALSE
3122805	FALSE
587391	FALSE
553318	FALSE
4349537	FALSE
1132905	FALSE
774922	FALSE
815435	FALSE
4450615	FALSE
2907294	FALSE
1112192	FALSE
4312403	FALSE
217851	FALSE
1107548	FALSE
1107055	FALSE
4336253	FALSE
566357	FALSE
677590	FALSE
4340137	FALSE
4344969	FALSE
572137	FALSE
325904	FALSE
313522	FALSE
114788	FALSE
269599	FALSE
4387837	FALSE
4354785	FALSE
428807	FALSE
4348411	FALSE
4364416	FALSE
572150	FALSE
4359330	FALSE
574510	FALSE
4385959	FALSE
352526	FALSE
235969	FALSE
3344719	FALSE
4418156	FALSE
819910	FALSE
583231	FALSE
4451358	FALSE
563693	FALSE
2146124	FALSE
305967	FALSE
4482302	FALSE
575225	FALSE
4332534	FALSE
567983	FALSE
200959	FALSE
2655589	FALSE
3429461	FALSE
1114110	FALSE
736040	FALSE
915631	FALSE
309693	FALSE
585574	FALSE
4355097	FALSE
1856738	FALSE
235866	FALSE
4207430	FALSE
4389957	FALSE
1109900	FALSE
4476137	FALSE
1108990	FALSE
1108144	FALSE
151344	FALSE
569893	FALSE
536947	FALSE
532624	FALSE
2804605	FALSE
138264	FALSE
1109402	FALSE
256400	FALSE
508787	FALSE
219034	FALSE
563202	FALSE
2931209	FALSE
4362093	FALSE
4426240	FALSE
3867306	FALSE
246466	FALSE
1119266	FALSE
257980	FALSE
940971	FALSE
1116149	FALSE
556103	TRUE
1111255	FALSE
609371	FALSE
612770	FALSE
145637	FALSE
433991	FALSE
310378	FALSE
1104848	FALSE
4331506	FALSE
14134	FALSE
164443	FALSE
2194481	FALSE
4482745	FALSE
261065	FALSE
259809	FALSE
532762	FALSE
274011	FALSE
200775	FALSE
368438	FALSE
3270527	FALSE
1109563	FALSE
554240	FALSE
313633	FALSE
575079	FALSE
4340718	FALSE
553974	FALSE
130219	FALSE
338777	FALSE
4441781	FALSE
1110665	FALSE
575010	FALSE
3888454	FALSE
365755	FALSE
164181	FALSE
