	Gram_Negative
542933	FALSE
661170	TRUE
913229	TRUE
300387	FALSE
284672	TRUE
582931	TRUE
201237	TRUE
639712	FALSE
136025	TRUE
4479753	TRUE
702400	TRUE
130922	FALSE
691392	TRUE
4376863	FALSE
255100	TRUE
724298	FALSE
552508	TRUE
220524	FALSE
539735	FALSE
341734	TRUE
668615	FALSE
155521	TRUE
1603735	TRUE
830956	TRUE
739464	TRUE
141154	TRUE
109057	TRUE
1136342	FALSE
4451400	FALSE
808440	TRUE
114811	TRUE
298813	FALSE
313493	FALSE
4473655	TRUE
234515	TRUE
817013	FALSE
3905299	FALSE
578224	TRUE
98258	TRUE
302883	FALSE
4359327	FALSE
160300	TRUE
104310	FALSE
569893	TRUE
171126	TRUE
788632	TRUE
993127	TRUE
307425	TRUE
814721	FALSE
626867	TRUE
569736	TRUE
575143	TRUE
4332665	FALSE
1107679	TRUE
165185	TRUE
270376	TRUE
784506	TRUE
1144747	TRUE
693092	TRUE
1010113	TRUE
240170	TRUE
1560939	TRUE
4458619	FALSE
572843	FALSE
101553	TRUE
4367491	FALSE
2932342	TRUE
235042	TRUE
558101	TRUE
255671	FALSE
325677	TRUE
632346	TRUE
1003206	TRUE
285497	TRUE
342224	TRUE
4374557	TRUE
2981825	TRUE
225370	TRUE
1107031	TRUE
1068470	TRUE
112337	TRUE
4342066	TRUE
689621	TRUE
4306040	TRUE
557699	TRUE
2806353	TRUE
1026431	FALSE
563693	TRUE
3956482	FALSE
132661	FALSE
141607	TRUE
1078375	TRUE
540643	TRUE
136286	TRUE
212239	TRUE
316772	TRUE
353248	TRUE
563796	FALSE
1040796	TRUE
4106309	TRUE
4298791	TRUE
150851	FALSE
128263	TRUE
4441046	TRUE
2297428	FALSE
4297214	TRUE
238741	TRUE
1104662	TRUE
2853353	FALSE
565514	TRUE
1766551	TRUE
1104793	FALSE
210958	TRUE
1127642	TRUE
575252	TRUE
329032	FALSE
341460	TRUE
1132384	TRUE
573757	FALSE
1109245	TRUE
275105	TRUE
238940	TRUE
939545	FALSE
3348667	FALSE
557211	TRUE
321346	TRUE
543572	TRUE
785565	TRUE
316871	TRUE
350592	TRUE
3076501	FALSE
531374	FALSE
553318	TRUE
4387837	TRUE
4392549	FALSE
4349537	TRUE
4298967	TRUE
1112192	TRUE
235527	TRUE
333130	TRUE
660076	TRUE
4336253	FALSE
566357	TRUE
960695	FALSE
14475	FALSE
4340137	FALSE
994959	TRUE
254888	TRUE
594000	TRUE
274447	TRUE
348570	TRUE
4195126	TRUE
325904	TRUE
313522	TRUE
1087298	TRUE
114821	TRUE
4297284	TRUE
572695	TRUE
4330206	TRUE
377613	FALSE
1011514	TRUE
536121	TRUE
761601	TRUE
800841	FALSE
313174	TRUE
572150	TRUE
3192521	TRUE
4388994	TRUE
1135562	FALSE
4359330	FALSE
179922	TRUE
761592	FALSE
150441	TRUE
4385959	TRUE
469663	FALSE
255802	FALSE
4481861	FALSE
4369009	TRUE
1059762	TRUE
583231	TRUE
539508	TRUE
4377104	TRUE
4451358	TRUE
1111111	TRUE
3712725	TRUE
254951	TRUE
305967	TRUE
4482302	TRUE
806030	FALSE
342034	TRUE
993455	TRUE
943138	TRUE
605566	TRUE
10724	TRUE
306254	FALSE
1114110	TRUE
320773	TRUE
146126	TRUE
434004	TRUE
574883	TRUE
736040	TRUE
574835	TRUE
151316	TRUE
2401319	TRUE
4357289	TRUE
566771	TRUE
3991527	FALSE
590476	TRUE
247441	TRUE
548050	TRUE
291315	TRUE
166322	TRUE
4454356	TRUE
4389957	TRUE
1106960	TRUE
816411	TRUE
790466	FALSE
584239	TRUE
686219	FALSE
60179	TRUE
832359	TRUE
2317377	TRUE
736302	TRUE
677165	TRUE
782472	TRUE
582813	FALSE
4378239	FALSE
1108952	TRUE
138264	TRUE
146556	TRUE
2143302	TRUE
1109402	TRUE
256400	TRUE
211593	TRUE
664205	FALSE
331119	TRUE
200584	FALSE
2572948	TRUE
1129931	FALSE
330888	TRUE
4394095	TRUE
829240	TRUE
585063	FALSE
179879	TRUE
882018	FALSE
581316	TRUE
532624	FALSE
99430	TRUE
4398746	FALSE
4481373	TRUE
225041	TRUE
4362093	TRUE
4437259	TRUE
3867306	TRUE
4312368	TRUE
1016369	FALSE
1640195	TRUE
310249	TRUE
3555019	TRUE
1116149	TRUE
639286	TRUE
3085264	TRUE
4253641	TRUE
539547	TRUE
207780	TRUE
313235	FALSE
354725	TRUE
931727	FALSE
4317477	FALSE
4451743	FALSE
265496	TRUE
329004	TRUE
344676	TRUE
225187	TRUE
301921	FALSE
259809	TRUE
338836	TRUE
238105	TRUE
110755	TRUE
571304	TRUE
1130890	TRUE
274011	FALSE
4459768	TRUE
4465677	TRUE
368438	TRUE
104610	FALSE
4430489	TRUE
4426240	TRUE
693333	TRUE
571072	TRUE
518752	TRUE
427183	FALSE
344914	TRUE
321533	TRUE
1015143	FALSE
1856738	TRUE
269907	TRUE
4404172	TRUE
966091	FALSE
572190	TRUE
4483818	TRUE
1112543	TRUE
3760122	FALSE
553974	TRUE
806354	TRUE
538679	TRUE
4359533	TRUE
1110665	TRUE
1028542	FALSE
4330745	TRUE
538178	TRUE
