	Gram_Negative
2672863	TRUE
4455980	FALSE
537062	TRUE
552508	TRUE
137866	TRUE
948180	FALSE
155521	TRUE
4416783	TRUE
254116	TRUE
585063	FALSE
554981	TRUE
1130212	TRUE
878161	TRUE
351673	FALSE
73609	FALSE
240049	TRUE
534698	TRUE
4344228	TRUE
569951	TRUE
4465164	TRUE
993127	TRUE
4248322	TRUE
525841	TRUE
1139117	FALSE
829240	TRUE
113207	TRUE
37747	FALSE
4324601	TRUE
633535	TRUE
1144747	TRUE
439457	FALSE
787663	FALSE
248468	FALSE
572843	FALSE
164443	TRUE
288743	TRUE
307425	TRUE
1136762	FALSE
255671	FALSE
3603301	FALSE
2153555	FALSE
225370	TRUE
337036	TRUE
718979	TRUE
10724	TRUE
544480	FALSE
20957	TRUE
574883	TRUE
276370	FALSE
3471198	TRUE
329004	TRUE
141607	TRUE
313235	FALSE
3208272	TRUE
569119	TRUE
727834	TRUE
960695	FALSE
1136342	FALSE
3253	TRUE
851938	FALSE
365956	TRUE
724665	FALSE
112750	TRUE
341460	TRUE
242585	TRUE
238940	TRUE
1109245	TRUE
83514	FALSE
4309252	TRUE
4374816	TRUE
240451	FALSE
904196	FALSE
626867	TRUE
11282	TRUE
543572	TRUE
4375708	TRUE
933546	TRUE
563194	TRUE
1140434	TRUE
4459021	TRUE
112962	TRUE
539866	TRUE
195246	TRUE
1011514	TRUE
210958	TRUE
4446915	FALSE
4314926	TRUE
1108632	TRUE
4467056	FALSE
297256	FALSE
4451400	FALSE
550937	FALSE
60179	TRUE
361402	TRUE
306254	FALSE
4446152	FALSE
4441046	TRUE
2147801	TRUE
4319936	TRUE
158026	TRUE
4329000	TRUE
1111883	TRUE
882018	FALSE
575143	TRUE
4330745	TRUE
279230	TRUE
346431	TRUE
4347078	FALSE
2366094	TRUE
1009173	FALSE
539313	TRUE
533420	TRUE
1140185	TRUE
4298967	TRUE
541244	FALSE
427183	FALSE
590476	TRUE
88754	TRUE
540940	FALSE
1131309	TRUE
2140895	TRUE
137183	FALSE
4409442	TRUE
758023	TRUE
4464567	TRUE
539735	FALSE
547736	TRUE
4436510	TRUE
706500	TRUE
132661	FALSE
325346	TRUE
4388765	TRUE
4339351	TRUE
804742	FALSE
1085646	FALSE
4311518	TRUE
4358716	TRUE
565514	TRUE
211593	TRUE
542933	FALSE
921110	FALSE
696532	TRUE
822328	TRUE
3944484	TRUE
4281045	TRUE
4363948	TRUE
241760	FALSE
300618	FALSE
4369968	TRUE
3290338	TRUE
2775220	TRUE
3992842	TRUE
11427	FALSE
336306	TRUE
840347	TRUE
207780	TRUE
4327787	FALSE
241895	FALSE
4325199	FALSE
868555	TRUE
1016369	FALSE
4374109	FALSE
4334049	TRUE
304211	FALSE
386273	TRUE
333593	TRUE
81639	TRUE
920506	FALSE
848713	TRUE
1015143	FALSE
4394926	TRUE
22928	FALSE
4024061	TRUE
586013	TRUE
576076	TRUE
4362093	TRUE
575533	FALSE
225187	TRUE
4442779	TRUE
4018589	TRUE
135965	TRUE
562701	FALSE
581821	FALSE
553974	TRUE
1010113	TRUE
172055	TRUE
1967331	TRUE
114498	TRUE
584331	FALSE
