	Aerobic
2672863	FALSE
4455980	FALSE
537062	TRUE
552508	FALSE
137866	TRUE
948180	FALSE
155521	TRUE
4416783	TRUE
254116	FALSE
585063	TRUE
554981	FALSE
1130212	TRUE
878161	TRUE
351673	FALSE
73609	FALSE
240049	FALSE
534698	FALSE
4344228	FALSE
569951	FALSE
4465164	FALSE
993127	FALSE
4248322	FALSE
525841	FALSE
1139117	TRUE
829240	FALSE
113207	FALSE
37747	TRUE
4324601	FALSE
633535	FALSE
1144747	FALSE
439457	FALSE
787663	FALSE
248468	TRUE
572843	FALSE
164443	TRUE
288743	FALSE
307425	FALSE
1136762	TRUE
255671	FALSE
3603301	TRUE
2153555	TRUE
225370	FALSE
337036	TRUE
718979	TRUE
10724	FALSE
544480	FALSE
20957	FALSE
574883	TRUE
276370	FALSE
3471198	FALSE
329004	FALSE
141607	FALSE
313235	FALSE
3208272	FALSE
569119	FALSE
727834	FALSE
960695	FALSE
1136342	FALSE
3253	TRUE
851938	FALSE
365956	TRUE
724665	TRUE
112750	FALSE
341460	FALSE
242585	FALSE
238940	TRUE
1109245	FALSE
83514	TRUE
4309252	FALSE
4374816	FALSE
240451	TRUE
904196	TRUE
626867	FALSE
11282	FALSE
543572	TRUE
4375708	FALSE
933546	TRUE
563194	TRUE
1140434	FALSE
4459021	FALSE
112962	FALSE
539866	TRUE
195246	FALSE
1011514	FALSE
210958	FALSE
4446915	FALSE
4314926	FALSE
1108632	TRUE
4467056	FALSE
297256	FALSE
4451400	FALSE
550937	TRUE
60179	FALSE
361402	FALSE
306254	FALSE
4446152	TRUE
4441046	FALSE
2147801	FALSE
4319936	TRUE
158026	FALSE
4329000	FALSE
1111883	FALSE
882018	TRUE
575143	TRUE
4330745	FALSE
279230	FALSE
346431	FALSE
4347078	TRUE
2366094	FALSE
1009173	TRUE
539313	TRUE
533420	FALSE
1140185	FALSE
4298967	FALSE
541244	FALSE
427183	TRUE
590476	FALSE
88754	FALSE
540940	FALSE
1131309	TRUE
2140895	FALSE
137183	FALSE
4409442	FALSE
758023	FALSE
4464567	FALSE
539735	TRUE
547736	FALSE
4436510	TRUE
706500	FALSE
132661	FALSE
325346	FALSE
4388765	FALSE
4339351	TRUE
804742	TRUE
1085646	FALSE
4311518	FALSE
4358716	TRUE
565514	TRUE
211593	FALSE
542933	TRUE
921110	FALSE
696532	FALSE
822328	TRUE
3944484	FALSE
4281045	FALSE
4363948	TRUE
241760	TRUE
300618	FALSE
4369968	FALSE
3290338	TRUE
2775220	TRUE
3992842	FALSE
11427	TRUE
336306	FALSE
840347	TRUE
207780	TRUE
4327787	TRUE
241895	TRUE
4325199	FALSE
868555	TRUE
1016369	FALSE
4374109	TRUE
4334049	TRUE
304211	FALSE
386273	FALSE
333593	TRUE
81639	FALSE
920506	FALSE
848713	FALSE
1015143	FALSE
4394926	FALSE
22928	FALSE
4024061	FALSE
586013	TRUE
576076	FALSE
4362093	TRUE
575533	TRUE
225187	TRUE
4442779	TRUE
4018589	FALSE
135965	TRUE
562701	FALSE
581821	TRUE
553974	FALSE
1010113	FALSE
172055	FALSE
1967331	FALSE
114498	FALSE
584331	TRUE
