	Facultatively_Anaerobic
3760117	FALSE
269030	TRUE
4482745	FALSE
4400245	FALSE
325904	FALSE
235969	FALSE
4456771	TRUE
278735	TRUE
4479618	FALSE
316737	FALSE
1108144	FALSE
305967	FALSE
72214	FALSE
4475161	FALSE
1114337	FALSE
585568	FALSE
2860880	FALSE
1140434	TRUE
855812	TRUE
151344	FALSE
553318	TRUE
374897	FALSE
512414	FALSE
109057	FALSE
1107548	FALSE
4443384	FALSE
661170	FALSE
4473308	FALSE
4398746	FALSE
237144	FALSE
282549	FALSE
274011	FALSE
1107055	FALSE
766547	FALSE
260801	FALSE
4372908	FALSE
1766551	FALSE
100535	FALSE
2658745	FALSE
334709	FALSE
331649	FALSE
3429461	FALSE
171397	FALSE
636022	FALSE
208171	FALSE
1108984	FALSE
252636	FALSE
4076076	TRUE
4340148	FALSE
532762	FALSE
835972	FALSE
3211673	FALSE
333593	FALSE
702400	FALSE
151316	FALSE
2194481	FALSE
255470	FALSE
677590	FALSE
572137	FALSE
14134	FALSE
513117	FALSE
1114496	FALSE
536121	FALSE
1119266	FALSE
4375615	FALSE
341734	FALSE
2195623	FALSE
974817	FALSE
698647	FALSE
4343075	FALSE
590548	FALSE
4106309	FALSE
575079	FALSE
1109402	FALSE
1114110	FALSE
587505	TRUE
571072	FALSE
249848	FALSE
313522	FALSE
585574	FALSE
569893	FALSE
342034	TRUE
563202	FALSE
310378	FALSE
566357	FALSE
352526	FALSE
255100	FALSE
563693	FALSE
256652	FALSE
209886	FALSE
3867306	FALSE
557998	TRUE
1132905	FALSE
3660402	FALSE
1120649	FALSE
4359640	FALSE
70071	FALSE
1111255	TRUE
609371	FALSE
4362093	FALSE
2804605	FALSE
4465584	FALSE
833553	FALSE
