	M00176_Sulfur_reduction_sulfate_H2S_
661170	FALSE
2860	FALSE
591796	FALSE
4353625	FALSE
130922	FALSE
4376863	FALSE
931727	FALSE
341734	FALSE
70494	FALSE
4452721	FALSE
343315	FALSE
141154	FALSE
4456435	FALSE
354725	FALSE
590476	FALSE
109057	FALSE
299227	FALSE
4473655	FALSE
354518	FALSE
569893	FALSE
938948	FALSE
814721	FALSE
3575253	FALSE
4398746	FALSE
282549	FALSE
227000	FALSE
352526	FALSE
4358878	FALSE
572843	FALSE
164443	TRUE
325904	FALSE
2932342	FALSE
285497	FALSE
4374557	TRUE
225370	FALSE
1106925	TRUE
4342066	FALSE
321346	FALSE
3164102	FALSE
591394	FALSE
4327197	FALSE
836059	FALSE
141607	FALSE
540643	FALSE
832359	FALSE
611320	FALSE
3471198	FALSE
316772	FALSE
837775	FALSE
327767	FALSE
98554	FALSE
1115987	FALSE
2853353	FALSE
365956	FALSE
361402	FALSE
1766551	FALSE
4416718	TRUE
242585	FALSE
3025176	FALSE
238940	FALSE
4374816	TRUE
150582	FALSE
543572	FALSE
149607	FALSE
325735	FALSE
4437259	FALSE
578659	FALSE
1112192	FALSE
1111553	FALSE
4479618	FALSE
1603735	FALSE
571072	FALSE
4336253	FALSE
318061	FALSE
566357	FALSE
566771	FALSE
4314926	FALSE
4411920	FALSE
238105	FALSE
585568	FALSE
639286	FALSE
569884	FALSE
313522	FALSE
4355195	FALSE
305967	FALSE
1112543	FALSE
158026	FALSE
3760122	FALSE
251001	FALSE
428807	FALSE
1856738	FALSE
572150	FALSE
323712	FALSE
60638	FALSE
583231	FALSE
563693	FALSE
806030	FALSE
3867306	FALSE
943138	FALSE
605566	FALSE
4396740	FALSE
271524	FALSE
201237	FALSE
4443384	FALSE
736040	FALSE
230061	FALSE
4410004	FALSE
758023	FALSE
636022	FALSE
235042	FALSE
512873	FALSE
570408	TRUE
325346	FALSE
4388765	FALSE
151344	FALSE
3760117	FALSE
837605	FALSE
227717	FALSE
4461079	FALSE
875548	FALSE
146556	FALSE
681073	FALSE
1109402	FALSE
237131	FALSE
145637	FALSE
822328	FALSE
2401319	FALSE
310249	FALSE
581316	FALSE
4481373	FALSE
4362093	FALSE
1116149	FALSE
351676	FALSE
165553	FALSE
1114110	FALSE
4463767	FALSE
259809	FALSE
333593	FALSE
370067	FALSE
274011	FALSE
330888	FALSE
427183	FALSE
344914	FALSE
269907	FALSE
4018589	FALSE
228555	FALSE
553974	FALSE
4359533	FALSE
1110665	FALSE
4371135	FALSE
232551	FALSE
804325	FALSE
4398706	FALSE
262657	FALSE
499902	FALSE
