	Aerobic
4334160	FALSE
4353625	FALSE
511931	FALSE
4478586	TRUE
1121123	FALSE
851799	TRUE
3134290	TRUE
537062	TRUE
931727	TRUE
153594	TRUE
1062748	TRUE
341734	FALSE
351929	FALSE
4452721	TRUE
356532	TRUE
351673	FALSE
333130	FALSE
137183	FALSE
856135	TRUE
238741	TRUE
1026431	TRUE
1065569	FALSE
554911	FALSE
993127	FALSE
10724	FALSE
237131	FALSE
1045843	FALSE
998966	FALSE
2480553	FALSE
515169	FALSE
4393921	TRUE
4304512	TRUE
541511	TRUE
837605	FALSE
164443	TRUE
4403168	FALSE
4340816	FALSE
550484	TRUE
563796	FALSE
321346	FALSE
563693	TRUE
745395	TRUE
528829	TRUE
2163606	FALSE
962249	FALSE
525841	FALSE
997642	TRUE
681073	FALSE
137516	FALSE
763358	FALSE
335960	TRUE
1106278	FALSE
1136342	FALSE
4480305	FALSE
1015143	FALSE
637931	TRUE
235943	TRUE
104179	FALSE
540653	FALSE
994959	FALSE
1107031	FALSE
114621	FALSE
533420	FALSE
101553	FALSE
4418992	FALSE
523593	TRUE
83514	TRUE
830956	FALSE
4455980	FALSE
626867	FALSE
584241	FALSE
310249	FALSE
149607	FALSE
531374	FALSE
4397593	TRUE
4359533	FALSE
1106384	FALSE
554981	FALSE
575252	TRUE
933546	TRUE
287608	FALSE
224486	TRUE
313174	TRUE
538679	FALSE
585568	TRUE
342034	FALSE
569884	FALSE
4451400	FALSE
4458736	FALSE
805022	FALSE
1135562	TRUE
575143	TRUE
753560	FALSE
11427	TRUE
203057	TRUE
951711	TRUE
3706429	FALSE
4304971	FALSE
1112543	FALSE
1011514	FALSE
4427030	FALSE
251001	TRUE
882018	TRUE
1110437	TRUE
1107555	TRUE
1104793	TRUE
207780	TRUE
323712	TRUE
1109245	FALSE
1967331	FALSE
14475	FALSE
270636	FALSE
552508	FALSE
1010113	FALSE
821141	FALSE
344914	FALSE
4326871	TRUE
541244	FALSE
807851	FALSE
4396740	FALSE
320773	FALSE
238940	TRUE
4394926	FALSE
185410	TRUE
758023	FALSE
758112	FALSE
587616	FALSE
636022	FALSE
235042	FALSE
357342	TRUE
201237	FALSE
4406621	FALSE
4434807	TRUE
229420	FALSE
4329788	FALSE
4456461	FALSE
2143302	FALSE
1104728	TRUE
979107	TRUE
235527	FALSE
4357413	FALSE
366545	TRUE
544302	TRUE
75585	TRUE
591796	FALSE
1126467	TRUE
585063	TRUE
867135	TRUE
588411	FALSE
825130	TRUE
4442779	TRUE
4425615	TRUE
4388765	FALSE
104129	FALSE
768898	TRUE
60179	FALSE
4325199	FALSE
840347	TRUE
1835918	FALSE
968354	TRUE
4467056	FALSE
4053303	TRUE
165553	FALSE
114498	FALSE
4331429	TRUE
960983	FALSE
301921	FALSE
564587	FALSE
1897353	FALSE
574883	TRUE
307846	FALSE
370067	FALSE
114788	FALSE
1107230	FALSE
631818	TRUE
538600	FALSE
22928	FALSE
288743	FALSE
855839	TRUE
4106309	FALSE
291149	FALSE
339359	FALSE
1075821	FALSE
4314534	FALSE
4401013	FALSE
592877	TRUE
135965	TRUE
696477	FALSE
99430	TRUE
724665	TRUE
4295177	FALSE
269907	FALSE
92008	TRUE
153548	TRUE
1111234	FALSE
174755	FALSE
626314	FALSE
354725	TRUE
718758	FALSE
321533	TRUE
806030	FALSE
4441046	FALSE
318061	TRUE
