	Anaerobic
661170	FALSE
582931	TRUE
4479753	FALSE
4376863	TRUE
255100	FALSE
724298	TRUE
341734	FALSE
1603735	FALSE
114811	FALSE
4473655	FALSE
160300	FALSE
569893	FALSE
814721	FALSE
569736	TRUE
1107679	TRUE
165185	FALSE
270376	TRUE
784506	FALSE
2981825	FALSE
4306040	FALSE
557699	FALSE
563693	FALSE
540643	TRUE
353248	FALSE
128263	FALSE
1766551	TRUE
1132384	TRUE
316871	FALSE
553318	FALSE
4349537	FALSE
1112192	TRUE
4336253	FALSE
566357	TRUE
4340137	TRUE
325904	FALSE
313522	FALSE
4297284	FALSE
572695	FALSE
4330206	FALSE
536121	FALSE
572150	FALSE
4359330	FALSE
4385959	FALSE
583231	FALSE
4451358	TRUE
1111111	FALSE
3712725	FALSE
305967	FALSE
4482302	FALSE
605566	FALSE
1114110	FALSE
736040	TRUE
151316	FALSE
4389957	FALSE
138264	TRUE
1109402	FALSE
256400	FALSE
532624	FALSE
4398746	FALSE
4362093	FALSE
4437259	TRUE
3867306	FALSE
4312368	TRUE
1116149	FALSE
259809	FALSE
338836	TRUE
274011	FALSE
4459768	FALSE
368438	FALSE
4426240	FALSE
571072	FALSE
1856738	TRUE
572190	FALSE
4483818	FALSE
553974	TRUE
1110665	FALSE
