	Anaerobic
348570	FALSE
4339367	FALSE
1109245	FALSE
2326885	FALSE
4461101	FALSE
356942	FALSE
1065569	FALSE
701393	FALSE
2550290	FALSE
913149	FALSE
3760117	FALSE
4425801	FALSE
4374027	TRUE
1139618	FALSE
819910	FALSE
2153555	FALSE
300387	FALSE
4482745	FALSE
4400245	FALSE
4374816	FALSE
4466618	FALSE
110976	TRUE
550937	FALSE
235969	FALSE
2317377	FALSE
4437259	TRUE
1135388	FALSE
98258	FALSE
908948	TRUE
578659	FALSE
4456771	FALSE
165687	FALSE
278735	FALSE
212239	FALSE
210958	TRUE
129508	TRUE
249243	FALSE
3837757	FALSE
4479618	FALSE
4358716	FALSE
316737	FALSE
978072	FALSE
306254	TRUE
160903	FALSE
110321	FALSE
2743133	FALSE
137516	FALSE
253488	FALSE
305967	FALSE
101553	FALSE
309693	TRUE
571304	FALSE
829687	FALSE
4018589	TRUE
3240665	FALSE
611009	FALSE
1130212	FALSE
256575	FALSE
1537126	TRUE
67775	FALSE
244247	FALSE
810119	FALSE
3122805	FALSE
809730	FALSE
1015143	FALSE
104788	FALSE
2374557	TRUE
574883	FALSE
104310	FALSE
427183	FALSE
325677	FALSE
72214	FALSE
832260	FALSE
154412	TRUE
4475161	TRUE
1114337	TRUE
585568	FALSE
4326288	TRUE
1123395	FALSE
573599	FALSE
833257	FALSE
516022	FALSE
38435	FALSE
1140434	FALSE
258327	FALSE
549144	FALSE
554911	TRUE
855812	FALSE
515169	FALSE
786067	FALSE
565917	FALSE
336306	FALSE
766044	TRUE
710897	FALSE
804742	FALSE
512414	FALSE
109057	FALSE
132661	FALSE
514080	FALSE
529653	FALSE
1107548	FALSE
511931	FALSE
40401	FALSE
4342076	FALSE
4343435	FALSE
806026	FALSE
112259	FALSE
112352	FALSE
14917	FALSE
441828	FALSE
725347	FALSE
817013	FALSE
4465677	TRUE
832001	FALSE
4473308	TRUE
4359327	FALSE
4469032	FALSE
2775220	FALSE
218772	FALSE
317953	FALSE
4343065	TRUE
806133	FALSE
1845162	FALSE
282549	TRUE
4409036	FALSE
4345060	FALSE
274011	FALSE
1107055	TRUE
225370	TRUE
976441	FALSE
565514	FALSE
766547	FALSE
4387158	FALSE
2528843	FALSE
4436510	FALSE
141607	FALSE
790466	TRUE
260801	FALSE
339359	TRUE
960695	FALSE
865520	FALSE
4372908	FALSE
3025176	FALSE
62921	FALSE
3192521	FALSE
1142199	FALSE
591043	FALSE
112962	FALSE
4325392	TRUE
1126195	FALSE
1742482	FALSE
148761	TRUE
1118132	FALSE
3348667	FALSE
1124068	FALSE
818357	FALSE
257891	FALSE
949659	FALSE
439457	FALSE
1108706	FALSE
181971	FALSE
4374109	FALSE
585063	FALSE
310249	TRUE
100535	FALSE
1135562	FALSE
537062	FALSE
4416783	FALSE
334709	FALSE
321533	FALSE
331649	FALSE
591796	TRUE
920506	TRUE
3429461	TRUE
4342056	FALSE
546441	FALSE
330263	TRUE
114176	FALSE
3956482	FALSE
361402	FALSE
171397	FALSE
819298	TRUE
4425615	FALSE
563796	FALSE
636022	TRUE
72926	TRUE
370067	TRUE
357342	FALSE
302883	FALSE
829240	FALSE
1112192	TRUE
1787054	TRUE
153521	FALSE
823251	TRUE
447843	FALSE
543572	FALSE
205559	FALSE
149607	FALSE
252636	TRUE
4340148	FALSE
646478	FALSE
532762	FALSE
221294	TRUE
201237	FALSE
835972	TRUE
357329	FALSE
174842	TRUE
848713	FALSE
3211673	TRUE
533420	TRUE
351673	TRUE
3213372	FALSE
333593	FALSE
4463767	FALSE
1106960	FALSE
875451	FALSE
4441545	TRUE
333130	TRUE
825763	TRUE
206114	FALSE
2680784	FALSE
301880	TRUE
947115	FALSE
702400	TRUE
1129706	FALSE
21210	FALSE
240641	TRUE
3058999	TRUE
778762	FALSE
4396740	FALSE
921110	FALSE
246853	FALSE
304223	FALSE
4442779	FALSE
365956	FALSE
255470	TRUE
677590	TRUE
4365141	FALSE
10724	FALSE
14134	TRUE
4359533	FALSE
170883	TRUE
234654	FALSE
772190	FALSE
1119266	FALSE
4375615	FALSE
572843	FALSE
2195623	TRUE
4296752	FALSE
4386366	FALSE
518263	FALSE
982282	TRUE
297256	FALSE
757894	FALSE
626867	FALSE
4375708	TRUE
362891	FALSE
760733	FALSE
2480553	TRUE
244568	FALSE
4343075	FALSE
1104728	FALSE
276370	FALSE
137866	FALSE
266549	FALSE
321346	TRUE
540876	FALSE
4064681	FALSE
1048194	FALSE
619073	FALSE
2183857	FALSE
265874	FALSE
544302	FALSE
224486	FALSE
236949	FALSE
300618	TRUE
329032	FALSE
307760	FALSE
575079	FALSE
83514	FALSE
176775	TRUE
1114110	FALSE
587505	FALSE
211593	FALSE
2366094	TRUE
571072	FALSE
4441200	TRUE
4426298	TRUE
270636	TRUE
134174	TRUE
761132	FALSE
4353625	FALSE
1128225	FALSE
4392535	FALSE
322661	TRUE
1104793	FALSE
4309252	TRUE
4478053	FALSE
740676	FALSE
938948	TRUE
1006554	FALSE
214800	FALSE
313522	FALSE
509377	FALSE
2062934	FALSE
637528	FALSE
1087462	FALSE
4363948	FALSE
575143	FALSE
877509	FALSE
4314534	TRUE
4364838	FALSE
951711	FALSE
2804901	FALSE
345093	FALSE
554984	FALSE
4475220	FALSE
590314	FALSE
262025	FALSE
4441046	TRUE
