	Forms_Biofilms
4353625	FALSE
538178	FALSE
422295	FALSE
312009	FALSE
341734	FALSE
70494	FALSE
343315	FALSE
830956	FALSE
109057	FALSE
448094	FALSE
354518	FALSE
938948	FALSE
577123	FALSE
4465584	FALSE
569669	FALSE
1105509	FALSE
823950	FALSE
342977	FALSE
325904	FALSE
4393019	FALSE
594371	FALSE
1114496	FALSE
591394	FALSE
744941	FALSE
837775	FALSE
160916	FALSE
819561	FALSE
962249	FALSE
4326111	FALSE
4403486	FALSE
4478949	FALSE
836059	FALSE
3208	FALSE
565890	FALSE
1637549	FALSE
325735	FALSE
625724	FALSE
1543166	FALSE
318061	FALSE
817401	FALSE
810704	FALSE
569884	FALSE
4393486	FALSE
4355195	FALSE
146556	FALSE
699904	FALSE
252615	FALSE
1112543	FALSE
221272	FALSE
2794420	FALSE
111320	FALSE
235042	FALSE
583231	FALSE
230061	FALSE
834774	FALSE
256904	FALSE
356532	FALSE
1082059	FALSE
159017	FALSE
151344	FALSE
837605	FALSE
227717	FALSE
4461079	FALSE
875548	FALSE
354725	FALSE
681073	FALSE
237131	FALSE
4358878	FALSE
320613	FALSE
41476	FALSE
1128538	FALSE
2001897	FALSE
931727	FALSE
4369009	FALSE
583197	FALSE
570408	FALSE
1104793	FALSE
40104	FALSE
224772	FALSE
325175	FALSE
228555	FALSE
3685327	FALSE
504674	FALSE
550712	FALSE
4371135	FALSE
232551	FALSE
312645	FALSE
262657	FALSE
499902	FALSE
